longitude,latitude,year,building_concentration,geology,GWL,rainfall_mm,normalized_seismic_risk_score,soil_thickness,subsidence
113.388298,22.777431,2018,C,siltstone_shale,5.536495167,311,0.7726849921489525,2.83,12.513793
113.385704,22.764986,2015,C,sandstone_siltstone,44.73872621,90,0.7919385911937802,1.83,7.639267
113.388817,22.758245,2021,B,sandstone_siltstone,0.0,216,0.7918866928228874,2.2,0.0
113.370667,22.77795,2021,B,tuff_sandstone,51.36958819,216,0.7816343321471796,7.83,3.744386
113.38726,22.777431,2020,B,siltstone_sandstone,39.46964926,177,0.7728982821107406,3.0,12.855842
113.386223,22.769135,2016,C,conglomerate_sandstone,42.76114665,83,0.6583078960547089,1.35,1.53237
113.381042,22.76758,2015,C,limestone_sandstone,31.25171495,90,0.6728057959031151,2.18,7.560029
113.384674,22.766024,2021,B,tuff_sandstone,1.213966388,216,0.8222048199016,6.27,32.403038
113.380524,22.762913,2022,A,shale_limestone,0.0,72,0.6860112024759749,10.39,0.0
113.387779,22.768097,2016,C,siltstone_shale,55.98247105,83,0.61117467488764,5.19,2.815953
113.389336,22.757727,2020,B,siltstone_sandstone,0.0,91,0.756413114080454,10.12,0.0
113.367561,22.785728,2022,B,mudstone_siltstone,48.22221585,72,0.6978431419347604,9.31,62.313343
113.374817,22.783136,2015,C,siltstone_shale,0.264050128,90,0.7685166302854058,3.91,6.654106
113.375854,22.781061,2020,B,conglomerate_sandstone,51.3724246,177,0.7799208309938204,9.28,17.039545
113.37793,22.781061,2019,B,sandstone_siltstone,86.88680912,92,0.8092504647069972,4.57,16.904593
113.375854,22.783136,2019,B,limestone_sandstone,86.33045764,92,0.796550716938221,7.72,13.992794
113.360298,22.783655,2015,C,siltstone_shale,69.08182246,90,0.6963796355924208,0.76,3.53843
113.37326,22.786766,2022,B,limestone_sandstone,90.28375399,72,0.7432703314147172,3.52,7.002913
113.377411,22.780542,2019,B,mudstone_siltstone,90.14780243,92,0.8111409284844989,4.39,17.489016
113.378967,22.801804,2017,B,sandstone_siltstone,9.828681118,102,0.8253282154912308,3.23,1.418242
113.384155,22.781061,2018,C,siltstone_shale,5.222318801,311,0.8255632234323825,2.47,14.510428
113.358223,22.787804,2015,C,siltstone_shale,68.55920782,90,0.7581709700822564,0.67,6.934235
113.373779,22.786766,2019,B,shale_limestone,78.60339273,92,0.7349392196106052,7.94,9.242537
113.383118,22.801804,2018,B,tuff_sandstone,42.40660509,311,0.7693167314837175,3.62,9.264565
113.356667,22.780542,2016,C,siltstone_shale,2.576693278,83,0.7577519710043481,2.89,10.569583
113.381561,22.798693,2016,C,shale_limestone,1.961829096,83,0.8091088400749966,3.57,6.650151
113.366524,22.796619,2016,C,mudstone_siltstone,10.71927616,83,0.6665800958406004,5.19,4.019886
113.385193,22.794544,2020,B,siltstone_sandstone,63.98421061,177,0.6582961296231266,6.75,19.545969
113.359779,22.785728,2020,B,shale_limestone,56.2660977,177,0.7974142893925066,9.17,64.548553
113.356148,22.789877,2019,B,mudstone_siltstone,23.9450107,92,0.6749607878682744,5.35,43.272293
113.384674,22.801287,2015,C,shale_limestone,86.14446849,90,0.8388403358851849,0.78,9.033832
113.37793,22.793507,2015,C,sandstone_siltstone,82.051477,90,0.7499791038659273,3.99,5.124567
113.335922,22.828251,2021,B,conglomerate_sandstone,97.1734346,216,0.8152042626902024,8.5,13.158631
