team_id,team,abbrv,arena,mascot,conf,location
1,Minnesota Timberwolves,MIN,Target Center,Timberwolves,Western Conference - Northwest,"Minneapolis, Minnesota"
2,Indiana Pacers,IND,Bankers Life Fieldhouse,Pacers,Eastern Conference - Central,"Indianapolis, Indiana"
3,Utah Jazz,UTAH,Vivint Smart Home Arena,Jazz,Western Conference - Northwest,"Salt Lake City, Utah"
4,Orlando Magic,ORL,Amway Center,Magic,Eastern Conference - Southeast,"Orlando, Florida"
5,Atlanta Hawks,ATL,Philips Arena,Hawks,Eastern Conference - Southeast,"Atlanta, Georgia"
6,Boston Celtics,BOS,TD Garden,Celtics,Eastern Conference - Atlantic,"Boston, Massachusetts"
7,Cleveland Cavaliers,CLE,Quicken Loans Arena,Cavaliers,Eastern Conference - Central,"Cleveland, Ohio"
8,New York Knicks,NY,Madison Square Garden,Knicks,Eastern Conference - Atlantic,"New York, New York"
9,New Orleans Pelicans,NO,Smoothie King Center,Pelicans,Western Conference - Southwest,"New Orleans, Louisiana"
10,Portland Trail Blazers,POR,Moda Center,Trail Blazers,Western Conference - Northwest,"Portland, Oregon"
11,Memphis Grizzlies,MEM,FexExForum,Grizzlies,Western Conference - Southwest,"Memphis, Tennessee"
12,Los Angeles Lakers,LAL,Staples Center,Lakers,Western Conference - Pacific,"Los Angeles, California"
13,Oklahoma City Thunder,OKC,Chesapeake Energy Arena,Thunder,Western Conference - Northwest,"Oklahoma City, Oklahoma"
14,Dallas Mavericks,DAL,American Airlines Center,Mavericks,Western Conference - Southwest,"Dallas, Texas"
15,Houston Rockets,HOU,Toyota Center,Rockets,Western Conference - Southwest,"Houston, Texas"
16,Denver Nuggets,DEN,Pepsi Center,Nuggets,Western Conference - Northwest,"Denver, Colorado"
17,Philadelphia 76ers,PHI,Wells Fargo Center,76ers,Eastern Conference - Atlantic,"Philadelphia, Pennsylvania"
18,Brooklyn Nets,BKN,Barclays Center,Nets,Eastern Conference - Atlantic,"New York, New York"
19,Sacramento Kings,SAC,Sleep Train Arena,Kings,Western Conference - Pacific,"Sacramento, California"
20,Miami Heat,MIA,American Airlines Arena,Heat,Eastern Conference - Southeast,"Miami, Florida"
21,Golden State Warriors,GS,Chase Center,Warriors,Western Conference - Pacific,"San Francisco, California"
22,Chicago Bulls,CHI,United Center,Bulls,Eastern Conference - Central,"Chicago, Illinois"
23,Los Angeles Clippers,LAC,Staples Center,Clippers,Western Conference - Pacific,"Los Angeles, California"
24,Phoenix Suns,PHX,Talking Stick Resort Arena,Suns,Western Conference - Pacific,"Phoenix, Arizona"
25,Milwaukee Bucks,MIL,BMO Harris Bradley Center,Bucks,Eastern Conference - Central,"Milwuakee, Wisconsin"
26,Detroit Pistons,DET,The Palace of Auburn Hills,Pistons,Eastern Conference - Central,"Detroit, Michigan"
27,Charlotte Hornets,CHA,Time Warner Cable Arena,Hornets,Eastern Conference - Southeast,"Charlotte, North Carolina"
28,San Antonio Spurs,SA,AT&T Center,Spurs,Western Conference - Southwest,"San Antonio, Texas"
29,Washington Wizards,WSH,Verizon Center,Wizards,Eastern Conference - Southeast,"Washington, D.C."
30,Toronto Raptors,TOR,Air Canada Centre,Raptors,Eastern Conference - Atlantic,"Toronto, Ontario, Canada"
