player_id,player,team_id,team,number,status,position,position_category,height,weight,age,college
1,Tyler Zeller,28,San Antonio Spurs,40.0,INACT,C,C,"7' 0""",259.0,"January 17, 1990",North Carolina
2,Avery Bradley,12,Los Angeles Lakers,20.0,INACT,SF,F,"6' 3""",180.0,"November 26, 1990",Texas
3,Jae Crowder,25,Milwaukee Bucks,99.0,ACT,PF,F,"6' 6""",235.0,"July 6, 1990",Marquette
4,John Holland,7,Cleveland Cavaliers,10.0,INACT,SG,G,	,0.0,"November 5, 1988",Boston University
5,R.J. Hunter,27,Charlotte Hornets,22.0,INACT,SG,G,"6' 5""",185.0,"October 24, 1993",Georgia State
6,Jonas Jerebko,21,Golden State Warriors,21.0,INACT,PF,F,"6' 10""",231.0,"March 2, 1987",None
7,Amir Johnson,17,Philadelphia 76ers,5.0,INACT,PF,F,"6' 9""",240.0,"May 1, 1987",None
8,Jordan Mickey,20,Miami Heat,25.0,INACT,PF,F,"6' 8""",235.0,"July 9, 1994",LSU
9,Kelly Olynyk,30,Toronto Raptors,41.0,ACT,PF,F,"6' 11""",240.0,"April 19, 1991",Gonzaga
10,Terry Rozier,20,Miami Heat,2.0,INACT,SG,G,"6' 1""",190.0,"March 16, 1994",Louisville
11,Marcus Smart,11,Memphis Grizzlies,36.0,QUES,SG,G,"6' 3""",220.0,"March 6, 1994",Oklahoma State
12,Jared Sullinger,24,Phoenix Suns,60.0,INACT,PF,F,"6' 9""",260.0,"March 4, 1992",Ohio State
13,Isaiah Thomas,24,Phoenix Suns,4.0,ACT,PG,G,"5' 9""",185.0,"February 7, 1989",Washington
14,Evan Turner,1,Minnesota Timberwolves,1.0,INACT,SG,G,"6' 6""",220.0,"October 27, 1988",Ohio State
15,James Young,17,Philadelphia 76ers,8.0,INACT,SG,G,"6' 6""",215.0,"August 16, 1995",Kentucky
17,Kent Bazemore,19,Sacramento Kings,9.0,INACT,SG,G,"6' 4""",201.0,"July 1, 1989",Old Dominion
18,Tim Hardaway Jr.,14,Dallas Mavericks,10.0,ACT,SF,F,"6' 5""",205.0,"March 16, 1992",Michigan
20,Al Horford,6,Boston Celtics,42.0,ACT,PF,F,"6' 9""",240.0,"June 3, 1986",Florida
21,Kris Humphries,17,Philadelphia 76ers,43.0,INACT,PF,F,"6' 9""",245.0,"February 6, 1985",Minnesota
