team_id,team,abbrv,mascot,conf,location,img,city,state,arena,country,latitude,longitude,field,postal_code,dome
1,Buffalo Bills,BUF,Bills,American Football Conference - East,"Orchard Park, New York",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/f5ed3944-d87e-535a-89fa-864f3233fc31.png,Orchard Park,New York,Ralph Wilson Stadium,United States,42.774,-78.787,turf,14127-2237,0
2,New York Jets,NYJ,Jets,American Football Conference - East,"East Rutherford, New Jersey",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/c147a2b5-d091-5eb0-8225-ead71f001f6d.png,East Rutherford,New Jersey,MetLife Stadium,United States,40.813528,-74.074361,turf,07073-5100,0
3,Detroit Lions,DET,Lions,National Football Conference - North,"Detroit, Michigan",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/d4ef1b46-3fc9-5edc-8559-99deb934e149.png,Detroit,Michigan,Ford Field,United States,42.34,-83.045556,turf,48226-2229,1
4,Green Bay Packers,GB,Packers,National Football Conference - North,"Green Bay, Wisconsin",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/8113971f-ce2d-503b-9bd4-e9fe7cccca1b.png,Green Bay,Wisconsin,Lambeau Field,United States,44.501389,-88.062222,grass,54304-3927,0
5,Carolina Panthers,CAR,Panthers,National Football Conference - South,"Charlotte, North Carolina",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/ae10ab81-574e-5f6c-8ec9-886a1739cbb1.png,Charlotte,North Carolina,Bank of America Stadium,United States,35.225833,-80.852778,grass,28202-1518,0
6,Tennessee Titans,TEN,Titans,American Football Conference - South,"Nashville, Tennessee",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/3b21dc5c-eca6-5cb4-975c-9178d98a1d35.png,Nashville,Tennessee,Nissan Stadium,United States,36.166389,-86.771389,grass,37213-1234,0
7,Chicago Bears,CHI,Bears,National Football Conference - North,"Chicago, Illinois",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/2d2ef6f4-ee5d-5021-b879-9be3875bb26f.png,Chicago,Illinois,Soldier Field,United States,41.8623,-87.6167,grass,60605-2996,0
8,Los Angeles Rams,LAR,Rams,National Football Conference - West,"Los Angeles, California",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/27c01732-179d-5c7b-898b-08057386fec9.png,Los Angeles,California,Los Angeles Memorial Coliseum,United States,34.014167,-118.287778,grass,90037-1207,0
9,Miami Dolphins,MIA,Dolphins,American Football Conference - East,"Miami Gardens, Florida",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/8e2d8a14-e731-5436-a2be-1749424b2b9c.png,Miami Gardens,Florida,Sun Life Stadium,United States,25.958056,-80.238889,grass,33056-2614,0
10,New Orleans Saints,NO,Saints,National Football Conference - South,"New Orleans, Louisiana",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/50bbc14b-c854-59a2-b07f-7ceaa53aa83d.png,New Orleans,Louisianna,Mercedes-Benz Superdome,United States,29.950833,-90.081111,turf,70112-1255,1
11,Washington Commanders,WSH,Commanders,National Football Conference - East,"Landover, Maryland",https://s3-us-west-2.amazonaws.com/com.profiles/nfl/772cfa2a-017d-5c77-ae1d-790f83c93102.png,Landover,Maryland,FexExField,United States,38.907778,-76.864444,grass,20785-4534,0
