dx_id,kk,ss,bb,pp,log10(period)
0,2,1,32693,2147483249,18.7
1,2,1,32710,2147483249,18.7
2,2,1,32727,2147483249,18.7
3,2,1,32739,2147483249,18.7
4,2,1,32741,2147483249,18.7
5,2,1,32708,2147483269,18.7
6,2,1,32717,2147483269,18.7
7,2,1,32719,2147483269,18.7
8,2,1,32743,2147483269,18.7
9,2,1,32750,2147483269,18.7
10,2,1,32710,2147483323,18.7
11,2,1,32727,2147483323,18.7
12,2,1,32728,2147483323,18.7
13,2,1,32744,2147483323,18.7
14,2,1,32749,2147483323,18.7
15,2,1,32709,2147483353,18.7
16,2,1,32717,2147483353,18.7
17,2,1,32718,2147483353,18.7
18,2,1,32719,2147483353,18.7
19,2,1,32745,2147483353,18.7
20,2,1,32709,2147483399,18.7
21,2,1,32725,2147483399,18.7
22,2,1,32730,2147483399,18.7
23,2,1,32733,2147483399,18.7
24,2,1,32749,2147483399,18.7
25,2,1,32685,2147483423,18.7
26,2,1,32686,2147483423,18.7
27,2,1,32704,2147483423,18.7
28,2,1,32707,2147483423,18.7
29,2,1,32726,2147483423,18.7
30,2,1,32702,2147483477,18.7
31,2,1,32709,2147483477,18.7
32,2,1,32733,2147483477,18.7
33,2,1,32741,2147483477,18.7
34,2,1,32742,2147483477,18.7
35,2,1,32722,2147483489,18.7
36,2,1,32741,2147483489,18.7
37,2,1,32746,2147483489,18.7
38,2,1,32749,2147483489,18.7
39,2,1,32750,2147483489,18.7
40,2,1,32694,2147483497,18.7
41,2,1,32700,2147483497,18.7
42,2,1,32728,2147483497,18.7
43,2,1,32734,2147483497,18.7
44,2,1,32737,2147483497,18.7
45,2,1,32710,2147483543,18.7
46,2,1,32724,2147483543,18.7
47,2,1,32728,2147483543,18.7
48,2,1,32735,2147483543,18.7
49,2,1,32738,2147483543,18.7
50,2,1,32711,2147483549,18.7
51,2,1,32728,2147483549,18.7
52,2,1,32740,2147483549,18.7
53,2,1,32745,2147483549,18.7
54,2,1,32746,2147483549,18.7
55,2,1,32707,2147483563,18.7
56,2,1,32715,2147483563,18.7
57,2,1,32733,2147483563,18.7
58,2,1,32735,2147483563,18.7
59,2,1,32743,2147483563,18.7
60,2,1,32717,2147483579,18.7
61,2,1,32725,2147483579,18.7
62,2,1,32731,2147483579,18.7
63,2,1,32733,2147483579,18.7
64,2,1,32735,2147483579,18.7
65,2,1,32697,2147483587,18.7
66,2,1,32698,2147483587,18.7
67,2,1,32707,2147483587,18.7
68,2,1,32732,2147483587,18.7
69,2,1,32745,2147483587,18.7
70,2,1,32736,2147483629,18.7
71,2,1,32740,2147483629,18.7
72,2,1,32746,2147483629,18.7
73,2,1,32747,2147483629,18.7
74,2,1,32748,2147483629,18.7
75,2,1,32716,2147483647,18.7
76,2,1,32724,2147483647,18.7
77,2,1,32728,2147483647,18.7
78,2,1,32732,2147483647,18.7
79,2,1,32747,2147483647,18.7
80,2,1,1073479680,2147483647,18.7
81,2,1,32709,4294966877,19.3
82,2,1,32711,4294966877,19.3
83,2,1,32743,4294966877,19.3
84,2,1,32744,4294966877,19.3
85,2,1,32746,4294966877,19.3
86,2,1,32726,4294966909,19.3
87,2,1,32733,4294966909,19.3
88,2,1,32737,4294966909,19.3
89,2,1,32745,4294966909,19.3
90,2,1,32750,4294966909,19.3
91,2,1,32712,4294966927,19.3
92,2,1,32727,4294966927,19.3
93,2,1,32728,4294966927,19.3
94,2,1,32731,4294966927,19.3
95,2,1,32738,4294966927,19.3
96,2,1,32705,4294966943,19.3
97,2,1,32706,4294966943,19.3
98,2,1,32707,4294966943,19.3
99,2,1,32711,4294966943,19.3
100,2,1,32732,4294966943,19.3
101,2,1,32713,4294966981,19.3
102,2,1,32716,4294966981,19.3
103,2,1,32720,4294966981,19.3
104,2,1,32731,4294966981,19.3
105,2,1,32735,4294966981,19.3
106,2,1,32720,4294966997,19.3
107,2,1,32721,4294966997,19.3
108,2,1,32733,4294966997,19.3
109,2,1,32741,4294966997,19.3
110,2,1,32747,4294966997,19.3
111,2,1,32678,4294967029,19.3
112,2,1,32709,4294967029,19.3
113,2,1,32710,4294967029,19.3
114,2,1,32716,4294967029,19.3
115,2,1,32731,4294967029,19.3
116,2,1,32722,4294967087,19.3
117,2,1,32730,4294967087,19.3
118,2,1,32737,4294967087,19.3
119,2,1,32747,4294967087,19.3
120,2,1,32749,4294967087,19.3
121,2,1,32717,4294967111,19.3
122,2,1,32722,4294967111,19.3
123,2,1,32734,4294967111,19.3
124,2,1,32735,4294967111,19.3
125,2,1,32738,4294967111,19.3
126,2,1,32730,4294967143,19.3
127,2,1,32736,4294967143,19.3
128,2,1,32740,4294967143,19.3
129,2,1,32741,4294967143,19.3
130,2,1,32747,4294967143,19.3
131,2,1,32706,4294967161,19.3
132,2,1,32726,4294967161,19.3
133,2,1,32727,4294967161,19.3
134,2,1,32733,4294967161,19.3
135,2,1,32736,4294967161,19.3
136,2,1,32710,4294967189,19.3
137,2,1,32720,4294967189,19.3
138,2,1,32730,4294967189,19.3
139,2,1,32731,4294967189,19.3
